ProductCode;AlcoholValueRatio;AlcoholPercentage
13321801;35.47;12.4%
12363701;40.86;14%
14872905;50.48;14.5%
14872802;56.15;14.2%
7423901;49.58;14.2%
12805001;53.04;13.8%
14873001;55.04;13.3%
11332301;46.11;14.4%
15070201;47.77;12%
15092101;48.88;12%
15092201;47.77;12%
13464701;24.37;14.5%
13464801;27.59;14.5%
13464601;27.59;14.5%
13465101;21.9;14%
13465201;23.08;13%
13465001;21.15;14.5%
13464901;22.53;14.5%
15424801;49.58;12.5%
12367802;51.09;12%
14387001;28.66;14%
15417201;27.14;40%
11481901;29.25;42%
3803401;22.5;40%
15341201;30.24;17%
15001601;30.94;18%
1793601;44.21;42%
1793501;28.57;40%
15001501;30.61;42%
11267002;32.14;40%
1793401;28.57;40%
1860801;21.53;13%
1861001;15.23;14%
11739205;22.85;14%
13720501;33.61;13%
13721001;51.83;13.5%
13721101;53.83;13%
13016201;37.13;14%
12288801;73.81;13.5%
13393901;69.02;13.5%
14569801;76.14;13.5%
13032101;41.81;14%
12288701;93.91;14%
13393801;87.6;14%
14569601;94.37;14%
12288301;55.27;14%
13393601;47.5;14%
14569401;56.18;14%
13015501;31.14;14%
14986002;81.64;11%
14780001;111.09;12%
14780101;73.99;12%
15478505;83.31;12%
15419801;71.33;12.5%
15419701;305.56;12%
11020001;34.43;12%
11020105;36.11;12%
11057001;31.1;13.5%
7746501;48.19;13%
1695801;37.52;13.5%
1695901;36.18;14%
11683201;50.12;12.5%
10561001;50.12;12.5%
13876401;24.09;13%
3593001;46.66;12%
11683301;54.43;12%
13665506;13.5;13%
1695701;20.5;13%
12536301;24.61;13%
1695601;21.53;13%
10552501;46.41;13.5%
7335701;46.41;13.5%
6878501;16.18;14%
12343404;19.97;13%
13628804;19.97;13%
12660201;17.43;13%
10134101;15.26;13.5%
13480906;12.54;14%
15070301;55.54;12%
3570001;77.77;12%
3570005;99.99;12%
14362701;83.32;12%
12168001;99.99;12%
3988701;54.43;12%
3569701;62.21;12%
2256205;52.77;12%
2256201;47.77;12%
5972305;38.88;12%
5972304;70.79;12%
5972301;41.1;12%
12785901;44.43;12%
15463601;55.54;12%
7813101;37.5;40%
7813501;42.86;40%
15158101;43.79;13.7%
12464408;44.77;41.9%
12824001;47.62;42%
12819801;26.78;40%
10072601;57.1;8.5%
12871701;66.5;8%
12868501;40.46;11.5%
10827101;58.78;12%
14369001;54.33;12%
12868401;34.16;10.5%
10072401;55.03;11%
10826901;32.61;11%
11256801;14.28;38%
9737402;15.34;40%
9689301;14.28;40%
9689302;15.71;40%
14739201;15.35;47%
12628701;14.73;32%
4888901;15.35;40%
1302;14.47;45%
1301;12.6;45%
15287301;23.9;14.5%
15287201;25.67;13.5%
15287101;24.75;14%
12571805;53.33;15%
9140701;46.21;15%
13749402;19.99;40%
7967902;19.65;40%
13753802;20.82;36.5%
2268802;19.49;40%
10059301;25.39;11.5%
11243901;15.28;13%
1578302;16.92;6.5%
1824002;19.21;6.5%
1824102;17.31;9%
5104201;15.99;35%
9133802;22.5;40%
15126202;15.1;6%
14610302;null;0%
12935706;12.12;11%
15452301;28.56;14%
6796201;39.42;14.5%
12643901;23.25;43%
14740101;22;10%
13687901;23.32;12%
14221901;17.76;7.5%
14846401;15.75;11%
1652401;17.32;13%
12610401;29.62;13.5%
12610301;31.99;12.5%
1156001;19.47;6.5%
10997401;19.98;7%
884401;15.99;11%
12784701;16.72;11%
11692501;19.48;13%
13697201;31.99;12.5%
13314301;31.99;12.5%
13697301;29.58;13.5%
13704801;61.41;12.5%
13704901;62.57;12.5%
11692401;15.75;11%
13737201;41.29;14.5%
13736901;29.43;14%
13736801;21.14;13.5%
13737101;24.81;11.5%
9759601;31.31;14%
493301;30.79;13%
9759801;30.22;14.5%
1492301;29.3;13%
13868501;24.75;14%
12002101;25.27;39%
8179401;21.79;39%
14350305;82.93;12.5%
14350101;76.79;12.5%
14350005;66.93;12.5%
14349901;57.27;12.5%
14350505;93.64;12.5%
14350401;87.88;12.5%
14350605;190.23;12.5%
14421901;192.52;12.5%
14350701;223.67;12.5%
14350205;78.66;12.5%
14379005;224.74;12.5%
14108001;16.02;40%
3660601;21.07;40%
3660603;34.05;40%
1284301;21.43;40%
13601001;26.39;40%
5929801;34.61;40%
5929901;44.82;43%
15315501;26.66;58.9%
4893801;24.15;59.1%
10572001;23.78;48%
11311701;24.17;35%
14901801;38.56;42.6%
11311601;61.43;40%
11224902;58.17;46%
7643801;19.46;43.3%
11739701;19.45;42.6%
14419901;22.03;13%
10859701;26.63;12.5%
15075501;28.61;13%
15075601;29.75;12.5%
4115001;15.84;55%
4115003;22.89;55%
4804;18.36;40%
4801;13.21;40%
4126602;13.74;40%
9803801;20.94;42.3%
7675801;13.21;40%
3308501;13.21;40%
5139201;13.21;40%
14899501;13.91;38%
14298401;13.91;38%
4940501;13.21;40%
15238401;13.91;38%
14066401;13.91;38%
14303501;13.91;38%
3902;14.64;40%
4126503;24.95;40%
4126502;13.24;40%
4126501;12.12;40%
3901;12.6;40%
13003701;13.91;38%
15434401;13.91;38%
14264104;null;0%
12640801;26.66;40%
12953001;33.76;13.5%
4141201;33.33;16%
3314005;25.95;14%
3314001;20.47;14%
4486701;66.67;16.5%
12636801;40.44;15%
4206702;44.43;13.5%
3313901;20.56;12%
12204101;22.21;12%
14567901;61.32;15%
14568001;66.64;5%
14568201;20.22;14.5%
14568101;65.77;15%
14567801;27.58;14.5%
14567701;33.32;14%
13452602;26.2;5%
4331601;35.12;14%
15531301;27.25;12.5%
15531701;46.61;12.5%
15531601;46.61;12.5%
15531201;27.25;12.5%
14462801;45.63;12.5%
15531101;46.61;12.5%
14462601;45.63;12.5%
15531501;46.61;12.5%
7345401;29.33;12.5%
6865401;19.43;12%
15125601;26.29;14.4%
15125401;27.03;14%
15181001;98.81;14.5%
15180601;99.27;14.5%
15180701;94.52;14.5%
15180801;97.42;14%
9677501;31.4;14.6%
15180901;41.84;14.6%
1021302;30.27;8%
510802;26.48;8%
14478101;26.15;12.5%
672201;17.56;11%
12811701;26.66;12%
14101201;28.54;13.5%
9379801;27.13;14.5%
1899301;35.56;15%
4873001;27.14;14%
13562501;84.33;56.1%
13562201;56.2;54.3%
13562401;29.18;59.4%
11970301;26.32;52.7%
12486501;31.73;55.1%
13265401;68.67;58.5%
14867401;34.65;58.8%
14867201;29.77;56.9%
13265601;65.87;52.6%
12382501;23.11;58.6%
11579901;22.45;59.9%
13703001;30.77;60%
12872201;62.29;12.5%
10801801;25.13;13%
14505001;30.67;13%
11067701;30.83;12.5%
14505101;29.65;12.5%
14504901;28.51;13%
11067401;26.14;13%
11704701;45.95;13%
11067901;55.18;13%
11067601;27.63;12.5%
13521701;25.7;44.4%
15062303;35.09;44.4%
11076501;24.97;13%
2240701;36.05;13%
2240901;32.16;13%
3580801;49.88;13%
10359801;47.74;13.5%
11062301;23.28;13%
10297801;46.59;14%
8345901;14.99;12.5%
8346001;14.99;12.5%
13820901;33.33;13%
14587001;51.83;13.5%
12634901;36.01;13.5%
12847801;36.26;12.5%
12847901;43.16;10.5%
11234401;16.75;13.5%
11234301;17.61;13%
10781801;25.39;12.6%
10782101;26.22;12.2%
15430401;38.68;55.6%
13266301;25.13;46%
9895901;13.4;40%
13268701;42.39;55%
13703201;40.69;56.8%
12573801;32.01;58.1%
12573701;36.08;58.6%
12661607;124.64;13.8%
11474301;92.4;13.5%
10693201;85.11;13.5%
14516701;32.5;40%
14516501;23.57;40%
14516401;27.14;40%
14187701;13.32;12%
15371401;22.71;13.5%
15371801;22.06;14.5%
15453504;31.92;5%
13481301;34.12;12.5%
12342701;28.54;14%
9086501;35.97;5%
14621302;29.05;12%
14077902;26.22;13.7%
14816502;28.16;13.5%
14581502;34.86;10%
14816402;24.59;12%
13524002;29.93;12%
14816002;32.75;10%
12149102;31.5;40%
1551202;22.27;5.2%
14765701;35.15;12.5%
14765601;73.07;12.5%
14766001;54.22;13%
14765901;46.63;14%
11546201;21.12;46%
14381606;12.53;12.5%
4271206;11.6;13.5%
11077001;33.5;7%
14137001;36.17;7%
14490201;16.31;13%
1979301;21.5;13.5%
12781201;138.44;13%
15142401;123.46;13.5%
12051001;118.22;13.5%
3787201;31.99;48.9%
14644601;33.32;12%
3036801;15.64;8.5%
2115205;23.58;13%
2115207;32.82;13%
2115201;22.55;13%
8317501;26.42;11%
12013501;28.35;13%
12013701;23.61;13%
12013801;27.37;13%
11476902;78.92;50%
7411602;63.92;50%
1818302;26.9;40%
8239902;30.55;40%
1818402;45.13;46%
11342802;54.82;50%
14109101;22.63;46%
14109201;22.63;46%
11082903;43.69;40%
10216702;19.74;40%
13149302;19.49;40%
1987102;12.49;40%
1987101;12.32;40%
13059602;12.99;40%
10867901;12.3;40%
15303701;33.85;16%
12529407;35.09;19%
12528701;41.66;19%
12529301;49.38;18%
12528801;57.53;14%
12528901;46.57;17%
14865701;26.57;13.5%
2189501;42.95;14%
9384901;33.05;14%
3221801;27.33;14%
8005502;41.76;12.5%
12709401;324.77;14%
12708901;109.16;14.5%
12195201;22.53;13%
1466701;36.92;13%
11858801;36.92;13%
13926701;20.94;14%
15493901;19.48;13%
14307801;29.62;13.5%
11159201;23.99;15%
15144601;45.03;13%
15144401;99.38;13%
15144801;71.69;13%
15144301;68.62;13%
15144701;64.51;13%
5972501;25.14;14%
4122902;43.67;19%
3035401;17.03;18%
13453601;14.29;40%
4027601;15.3;13.5%
4825201;15.3;13.5%
4027702;19.12;13%
4027701;15.3;13.5%
5221206;12.1;13.5%
4406601;17.77;13.5%
14343301;465.38;13%
15251301;51.85;13.5%
15283701;25.19;13.5%
15283601;23.69;13.5%
1490901;33.18;15%
13389701;23.46;12.5%
11200601;28.7;13%
13123101;37.41;13.5%
14347301;35.45;13.5%
13123401;36.42;13.5%
13122501;42.97;13%
4405001;29.73;13%
12829202;21;30%
12829302;21;30%
13580401;25.18;13.5%
13517301;24.61;13%
1502501;22.55;13%
9657101;22.21;12%
5194701;25.59;12.5%
15117205;35.48;13.5%
15117201;33.74;13.5%
7830201;28.71;13%
5357501;70.24;13%
13272701;18.88;12%
13258801;18.32;12%
13378101;164.09;13%
13378701;109.5;14%
13379001;73.06;13.5%
13378801;74.85;13%
11918801;38.88;12%
4884801;23.47;13%
14757801;70.93;13.5%
12824201;29.08;12.5%
14757901;104.79;13.5%
13831401;25.81;13.5%
11155501;36.04;12.5%
14787001;43.56;13%
14797501;22.58;13.5%
9759301;35.86;12.5%
14251801;61.9;14%
14634501;69.13;13.5%
14251701;63.8;14%
10323501;16.78;40%
10966501;18.17;11%
11160005;20.6;11%
13498601;43.54;15%
13498701;27.14;13.5%
12354601;22.74;14%
15629301;32.64;14.5%
8134401;34.4;15.5%
14734401;24.23;11%
14409201;19.74;13.5%
14734501;23.58;13%
14409001;20.5;13%
142305;21.21;11%
1781007;26.97;11%
2199404;27.23;11%
9030702;21.79;11%
9030701;18.17;11%
12355001;19.38;11%
11320902;37.13;14%
9440501;19.04;14%
14409101;17.59;12.5%
8134304;27.23;11%
3715401;17.56;11%
13532601;25.71;14%
15019801;14.98;13%
15019901;15.68;12%
5895501;34.76;6.9%
12395202;99.97;10%
12680101;54.8;9%
14513701;37.33;14.5%
14528401;72.64;14.5%
14513501;117.7;14.5%
13222701;36.6;14.5%
15570601;31.99;12.5%
15570501;28.97;11.5%
15570901;39.46;12.5%
1034002;26.65;15%
4737901;17.18;14%
15014701;153.88;13%
5835001;70.89;14.5%
14702401;46.88;14%
14702301;33.62;13.5%
14702201;31.33;14%
10390901;59.44;12%
11631402;30.36;10%
582801;22.2;12%
14744802;29.02;12%
14052702;25.53;12%
13507202;25.53;12%
15378302;29.93;12%
10508902;45.47;7.6%
15058601;20;14%
15058501;26.66;13%
15058701;45.97;14.5%
11148301;52.77;14%
12141401;60.39;14%
12141501;62.18;14%
12141701;33.75;13%
11148501;56.1;14%
12544105;29.38;14.5%
10910801;30.9;14.5%
13293501;32;14%
12544005;29.27;14%
15101001;28.61;13.5%
15101101;24.67;13.5%
15101301;19.72;13.5%
6986301;55.56;15%
11086401;52.37;14%
11086601;51.2;13.8%
11086101;39.5;13.5%
1055105;43.73;12.5%
9188802;48.43;12.5%
5801001;46.92;12.5%
1022301;51.19;12.5%
12479501;72.13;12%
14779801;88.76;12%
11672301;73.6;12%
11956501;66.58;12%
12843801;66.59;12%
11672602;79.99;17.5%
5223201;20.71;40%
14313101;38.88;12%
11438206;9.48;13%
14988101;29.62;13.5%
14796301;29.7;13.5%
15356501;39.27;12.9%
15356701;44.43;13.5%
15357001;44.43;13.5%
13625301;25.06;12.5%
12824901;36.34;13.5%
13625501;42.46;13.5%
14066201;34.06;13.5%
12822001;26.08;11.5%
13625401;20.42;11.5%
12825001;26.12;12.5%
12821901;24.09;13%
13624801;28.26;12.5%
1608001;71.46;12.5%
1607901;73.59;12.5%
4211901;52.26;12.5%
12811205;52.79;12.5%
1607605;84;12.5%
8285201;53.32;12.5%
3770001;53.32;12.5%
12305501;38.51;13.5%
12305401;38.96;13%
13454201;38.88;12%
13449101;35.23;14%
13454301;38.51;13.5%
11190801;38.09;14%
11190601;40.51;13%
13449001;36.53;13.5%
12305301;39.5;13.5%
11190901;30.95;14%
11190701;31.28;13%
7197102;18.89;6.4%
14483601;45.82;5.5%
14483501;45.82;5.5%
13239701;38.17;12%
13239801;51.78;12%
14007501;93.12;13.5%
12614701;65.31;13%
13242801;36.89;12.5%
13240301;50.34;12%
13240001;47.06;12%
14563801;50.75;13%
15561001;32.72;13%
15560901;38.46;13%
14483201;16.69;13.5%
14483301;17.92;12.5%
13374601;27.64;13.5%
4348501;75.55;15%
10580501;49.91;11.5%
5506805;59.35;15.5%
5506801;62.5;16%
15286401;222.22;16.5%
8142001;222.22;16.5%
3582802;34.19;43%
5506301;32.38;14%
5506305;33.31;14%
5506705;96.09;14.5%
15286901;100.78;14.5%
14373101;26.15;13%
5506401;24.69;13.5%
5506502;60.71;14%
3596706;10.64;12.5%
4941901;23.59;13%
9039506;13.72;13%
5506601;17.43;13%
5297001;21.23;13.5%
12541301;29.63;13.5%
4472201;11.49;14.5%
7312101;17.43;13%
4765301;16.54;14.5%
1469801;16.78;13.5%
1224301;16.78;13.5%
14597601;43.49;13%
14597301;45.71;13%
14597801;40.7;13%
14597501;41.25;13%
14597701;28.97;13%
14597401;32.88;13%
15007101;31.98;12.3%
15007401;28.22;13.7%
15007201;32.26;12.4%
15007301;27.42;14.1%
15007001;28.35;12.7%
9724901;17.77;12%
10813402;59.68;10.5%
3981401;30.26;13%
5603206;12.19;12%
5740802;62.22;10.5%
13060901;14.4;12.5%
9524805;19.68;12.5%
1338701;17.59;12.5%
189201;38.87;13%
14136101;36.35;11%
15206101;20.8;12.5%
855706;13.96;12%
15206201;35.55;13%
934501;27.18;13%
3981301;25.13;13%
8347201;28.69;12.5%
14136301;32.96;12.5%
5862101;19.73;12.5%
5603301;18.67;12.5%
9611301;24.52;12.5%
14504701;33.32;14%
14558001;35.23;14%
10256101;88.38;13.2%
10256201;54.54;13.2%
10412401;49.2;14.5%
6833201;27.3;9.5%
14105601;24.98;8%
14120101;24.98;8%
14105701;24.98;8%
15452501;193.34;15%
15452401;61.78;15%
5076801;28.5;14.5%
2034101;11.72;12.5%
12979601;23.69;13.5%
12979401;28.63;13.5%
9238301;25.07;12.5%
10068601;26.45;12.5%
1866501;33.11;12%
9239601;19.63;12.5%
10068501;29.7;11%
14944701;40.48;13.5%
7301401;19.74;13.5%
14469001;29.55;11.5%
14469101;28.32;12%
14472901;28.79;12.5%
14468901;25.81;13%
15183901;26.66;12.5%
13267801;21.51;15.5%
13267701;27.53;15.5%
14301701;27.53;15.5%
14301601;29.43;14.5%
14637501;22.99;14.5%
14621402;33.01;8.6%
13863201;33.69;8.7%
13863101;33.69;8.7%
14209001;33.69;8.7%
14563001;34.35;13%
12270901;22.72;13.5%
14563301;32.84;14%
13393201;23.79;14%
14563201;28.08;14%
9912001;19.09;12.5%
9912201;16.64;13.5%
1578202;28.95;6.5%
13970501;27.72;12.5%
12154201;25.54;12%
14178401;27.47;11.5%
3514805;27.22;12%
3514801;31.1;12%
7905601;35.54;12%
11189605;30.55;12%
10044701;27.17;13%
14961402;53.31;13%
14961302;47.8;14.5%
13926401;25.21;12%
14722901;21.88;12%
10600101;26.66;12%
4554006;11.2;12.5%
4554001;12.26;12.5%
2246901;17.13;14%
12547501;21.88;14%
5666201;14.76;14%
14385301;16.4;13%
11444301;16.53;12.5%
13254601;14.76;14%
13709701;23.8;14%
611701;19.38;11%
15029201;107.74;13%
14625805;83.33;13.5%
15029301;110.34;14%
15132401;107.11;14%
15328501;107.15;14%
12844101;49.72;14.5%
12844007;77.92;14.5%
15217301;81.98;14.5%
5367502;38;42%
11424501;20.37;15%
11424601;32.86;15%
1159501;36.98;15.5%
15390806;11.33;12.5%
15562706;10.89;13%
12777801;36.29;14.5%
5586201;39.41;13.5%
5942505;17.77;13.5%
12203701;20.5;13%
12203601;14.76;14%
3657101;44.09;13%
3657201;38.89;14.4%
13106001;29.9;14%
13105901;35.63;12.5%
13106101;25.03;13%
13449401;40.92;14.5%
13401901;32.18;14.5%
14970801;24.61;13%
13328901;16.36;13%
2891601;21.21;11%
5701701;13.32;13%
14563901;37.94;13%
10824701;33.32;12%
15504201;33.32;12%
10463901;29.17;15%
10470901;114.18;14%
15123002;48.25;40%
14350801;42.85;47%
13268401;37.38;47%
13268201;48.23;47%
13268301;40.36;47%
946101;17.06;12.5%
12690001;27.58;14.5%
15169701;22.06;14.5%
9629601;17.13;14%
12689701;15.79;13.5%
3692001;31.89;15%
3692201;33.22;12%
14189301;21.02;13%
5388901;19.59;35%
10416601;23.29;23%
4465505;25.8;15.5%
4805001;20.58;17%
4805002;21.16;17%
1114602;24.35;17%
1114601;21.84;17%
14134001;23.95;15.5%
12159101;23.95;15.5%
14406001;21.31;5%
14453804;23.92;5%
14453901;21.31;5%
14714001;67.71;14.5%
3327801;166.66;12%
10985101;22.56;41%
14850601;21.07;40%
11720301;20.39;13%
7889701;33.06;12.5%
14701001;25.62;13%
14915501;54.53;11%
14915301;54.48;11.5%
10468901;41.2;11%
15478301;46.83;12.5%
15478401;53.23;12.5%
14895801;51.18;13%
3513701;36.94;14.4%
13900501;41.24;12.9%
13900601;41.23;12.9%
14895601;44.02;13.6%
7365501;43.01;13.3%
12563501;41.55;11.2%
12563601;39.1;11.9%
7365601;45.76;12.5%
3721601;14.35;13%
3721701;13.82;13.5%
11895501;39.36;12.5%
11895301;31;12%
15045501;25.53;11%
15056201;22.4;12.5%
15045401;25.16;12.5%
1006406;9.66;11%
13818501;49.35;13.5%
14820801;48.78;13.5%
5141201;34.56;13.5%
1339201;29.51;14%
5406701;16.78;13.5%
1572706;10.77;13%
1572701;13.49;13%
13223501;183.33;12%
12564101;51.18;13%
11924501;91.46;13.5%
13063701;98.57;13.5%
11924401;103.72;13.5%
14965701;217.09;13.5%
14965501;100.31;13%
11924001;61.33;13%
15347601;56.08;13.5%
14965601;100.31;13%
828401;47.4;13.5%
1654301;39.46;12.5%
2854101;42.89;11.5%
615001;22.92;12%
14661501;42.85;14%
14661301;42.85;14%
14661401;37.13;14%
11468101;143.45;14.5%
14090201;46.37;60%
14089901;46.37;60%
14090001;50.29;60%
14090101;50.29;60%
12902301;63.27;60%
7411301;62.3;46%
12902201;51.49;60%
12902001;53.27;60%
9399201;24.34;50%
14685701;316.37;60%
5534701;24.04;46%
775101;44.29;50%
14089701;45.19;46%
13392701;21.46;42.8%
775001;27.17;46%
6367401;22.46;40%
7410901;57.31;50%
14089801;57.58;50%
11342301;19.89;42.8%
15284302;18.84;13.5%
15284602;19.56;13%
14817502;26.11;8%
10488202;23.26;6.5%
247402;15.54;37.5%
247401;12.95;37.5%
1570801;11.73;38%
13087302;12.99;38%
14210101;12.1;38%
11302402;28.54;10.5%
12272402;27.94;10.5%
15203902;24.19;11.5%
12272302;33.44;11.5%
14883102;32.12;11.5%
13638302;26.21;13%
13638202;24.89;12.5%
10224002;25.29;8.5%
10652102;26.35;8.5%
10889801;13.71;37.5%
1688501;12.97;38%
10091401;45.75;7.3%
13529102;18.14;5%
7876002;26.82;5.3%
10488102;21.4;6.5%
6960702;29.1;5.3%
12672802;18.16;11.5%
15483602;36.7;6%
14626002;38.6;6%
12272202;24.89;12.5%
14817702;28.64;6.5%
15483702;36.7;6%
15483502;36.7;6%
15284502;18.17;14%
15407502;32.13;6.5%
15278002;21.19;12%
15477502;30.38;6.5%
15284402;19.56;13%
11735201;40.31;12.2%
11735101;33.93;14.5%
11444401;43.66;13.1%
11444201;47.87;13.9%
15659101;27.48;15%
15659701;30.3;14%
15658901;31.74;12.5%
13286201;24.1;13%
12778101;21.4;14%
12777901;45.95;14.5%
11344401;21.23;12.5%
11344301;22.02;11.5%
13479002;61.63;8%
5261301;26.07;40%
10329501;26.7;46%
15158801;63.44;14.5%
15158701;61.52;6.5%
12345501;18.54;11.5%
14380001;34.67;11.5%
11664901;56.15;9%
11665001;42.34;11%
15381301;28.84;13.5%
15381101;24.14;13.2%
15381001;23.21;13.9%
15381201;24.08;13.4%
14604401;30.67;14.5%
12293301;58.41;15%
14604301;57.18;14.5%
14604201;57.18;14.5%
11329201;36.1;14%
14604001;38.32;14.4%
9428601;44.37;13.5%
15188801;36.28;11%
14505701;25.89;12.5%
14505501;38.07;10.5%
14505601;35.93;11%
14515601;36.96;13%
15015001;27.74;12%
11444605;29.84;14.5%
11444601;29.33;14.5%
11491401;24.73;11%
5926802;24.97;20%
12311802;45.99;20%
12312002;48.99;20%
12312102;48.99;20%
12311902;36.99;20%
5927201;36.99;20%
4034601;17.77;19.5%
15448301;34.23;14%
15448201;42.9;14%
15448601;39.24;14%
15448501;42.34;14%
15448401;21.19;13%
11502201;419.72;12%
11501601;354.17;12%
11502001;319.72;12%
13122101;104.33;12%
11272101;125.39;12%
4440401;14.31;13.5%
14190201;14.86;13%
8315301;41.47;13.5%
4512601;38.61;14.5%
1113406;11.78;14%
10077601;14.35;13%
10077606;11.28;13%
5077806;11.02;13%
10902001;59.99;12%
12784001;55.54;12%
14984301;57.77;12%
13470401;71.1;12%
11265301;58.88;12%
12634101;45.54;12%
10902101;52.21;12%
11382705;47.22;12%
4169801;45.54;12%
10902401;68.88;12%
10901901;46.66;12%
13749901;37.03;13.5%
15450501;88.19;13.5%
15422801;69.92;13.5%
15450601;28.4;13%
15450301;28.3;13%
15450401;64.61;13%
15237001;63.78;13%
15450701;26.86;13%
15450901;38.96;13%
15236901;88.58;13.5%
132801;61.11;12.5%
